timestamp,magx,magy,magz
15159,-2264,4903,-2400
15203,-2360,4963,-2467
15247,-2324,4916,-2426
15269,-2353,4937,-2413
15291,-2379,4933,-2383
15313,-2424,4949,-2426
15335,-2429,4945,-2417
15357,-2463,4935,-2423
15379,-2463,4960,-2457
15401,-2421,4904,-2371
15423,-2463,4965,-2354
15445,-2438,4943,-2330
15599,-2457,4960,-2406
15621,-2447,4925,-2431
15709,-2487,4887,-2329
15731,-2487,4918,-2410
15753,-2505,4885,-2414
15775,-2521,4887,-2355
15797,-2539,4889,-2345
15819,-2517,4897,-2410
15841,-2533,4933,-2434
15863,-2504,4933,-2383
15907,-2518,4906,-2336
15929,-2504,4906,-2459
15951,-2554,4882,-2323
15973,-2542,4895,-2397
15995,-2539,4848,-2380
16017,-2525,4893,-2382
16039,-2533,4889,-2362
16061,-2520,4891,-2368
16083,-2506,4862,-2379
16105,-2549,4866,-2410
16127,-2573,4914,-2396
16149,-2512,4894,-2380
16193,-2504,4866,-2381
16303,-2529,4881,-2430
17051,-2524,4871,-2345
17161,-2496,4842,-2435
17183,-2501,4873,-2500
17227,-2513,4868,-2412
17249,-2530,4879,-2435
17271,-2487,4887,-2440
17293,-2505,4877,-2470
17315,-2488,4890,-2373
17337,-2524,4862,-2435
17359,-2482,4869,-2438
17381,-2537,4880,-2473
17403,-2502,4838,-2476
17425,-2497,4855,-2486
17469,-2498,4889,-2409
17491,-2479,4851,-2439
17513,-2482,4847,-2437
17579,-2530,4848,-2412
17601,-2514,4884,-2432
17623,-2512,4846,-2433
17645,-2518,4878,-2450
17667,-2490,4869,-2420
